Activity Date,Activity Type,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Watts,Activity ID
1999-08-22 00:08:54,Ride,670134907,7889.0,51.2,15.9,6.491,202.0,219.0,531.4,589.6,43.9,0.0,100.0,791
2020-09-13 00:15:29,Ride,16238,9175.0,48.86,13.8,5.325,360.1,360.1,566.4,685.6,25.0,0.0,75.0,790
2021-02-07 01:02:19,Ride,9969,6492.0,41.0,14.0,6.316,271.2,268.3,554.0,653.4,17.5,0.0,99.0,789
2021-02-09 02:19:19,Ride,4774,3636.0,22.42,19.0,6.166,93.2,95.0,554.3,600.8,16.7,0.0,114.0,788
2021-02-11 00:48:31,Ride,8089,5535.0,33.57,14.0,6.065,255.5,269.6,556.3,653.5,8.0,0.0,99.0,787
2021-02-12 11:54:20,Ride,1712,1626.0,8.52,17.1,5.245,47.4,60.4,555.2,601.2,8.8,-0.2,96.0,786
2021-02-13 00:27:52,Ride,26588,19942.0,137.45,15.3,6.893,785.4,767.5,555.5,652.2,7.9,0.0,107.0,785
2021-02-18 00:38:06,Ride,9764,9022.0,67.33,20.5,7.463,365.5,365.5,555.6,641.7,16.0,0.0,128.0,784
2021-02-19 00:34:40,Ride,8119,6752.0,37.0,13.3,5.48,251.3,234.0,555.5,653.5,19.5,0.0,82.0,783
2021-02-20 00:28:45,Ride,10925,8924.0,53.05,18.2,5.945,330.3,290.0,554.2,653.7,17.9,0.0,91.0,782
2021-02-21 00:24:44,Ride,229841934,9027.0,59.96,12.2,6.643,342.0,333.0,512.0,585.8,48.5,0.0,109.0,781
2021-02-23 01:10:02,Ride,7953,5366.0,22.6,13.3,4.213,127.5,126.0,554.2,614.0,18.0,0.0,53.0,780
2021-02-24 06:42:26,Ride,1293,1260.0,6.39,24.3,5.073,19.1,46.6,556.3,594.5,6.5,-0.4,97.0,779
2021-02-25 05:16:22,Ride,5991,3333.0,16.45,10.2,4.938,89.8,73.0,557.6,601.9,15.3,0.0,60.0,778
2021-03-11 00:44:58,Ride,4494,2736.0,15.6,10.9,5.703,136.2,104.4,551.4,638.2,15.3,0.2,103.0,777
2021-03-12 00:44:49,Ride,9563,7710.0,45.23,16.5,5.867,683.6,683.4,561.9,1043.3,19.6,0.0,113.0,776
2021-03-13 00:48:59,Ride,13867,9428.0,55.07,13.2,5.842,325.4,325.3,554.0,653.1,26.2,0.0,85.0,775
