Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
18079090245,"Apr 12, 2026, 10:57:45 AM",Afternoon Pickleball,Workout,,5336,0.09,169.0,18,,,,activities/19180702116.fit.gz,,,5336.0,5336.0,91.5,0.773,0.017,0.0,0.0,0.0,0.0,0.0,0.0,,,103.0,54.0,169.0,128.0,,,703.0,,,18.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.0,,,,1866.0,0.0,,,,,,1866.0,0.0,0.0,,,,0.0,,,,""
18074064248,"Apr 12, 2026, 4:18:07 AM",Morning Ride,Ride,"😃 Keeping it steady
🦆 ETC Training ()
🚵 Free Ride
🧀 Fat 39.1%, 🍞 Carb 60.9%
🕯️ Matches 1.2
🔋 Maximum discharge 9.4%


🔗https://www.strava.com/clubs/riduck
🔗https://riduck.com
",986,5.30,161.0,5,,,Shanyon,activities/19175599754.fit.gz,,7.7,986.0,986.0,5299.7,9.16,5.375,46.0,5.0,575.0,618.2,8.5,0.5,,,95.0,67.0,161.0,146.0,,105.0,133.0,,33.0,5.0,105164.0,,,,,,,,115.0,985.0,,,0.0,,1.0,,,,,,,,,,,,,,,,10794160.0,,,,,,,,,,,,5.375,274.0,,,,,0.0,,12.0,68.0,,,,0.0,0.0,,,,0.0,,,,""
18073848283,"Apr 12, 2026, 1:39:24 AM",Morning Ride,Ride,"😃 Keeping it steady
🐶 Free Training (moderate intensity)
🚵 Irregular course Ride
🧀 Fat 38.9%, 🍞 Carb 61.1%
🕯️ Matches 5.8
🔋 Maximum discharge 53.3%


🔗https://www.strava.com/clubs/riduck
🔗https://riduck.com
",4854,32.05,175.0,22,,,Shanyon,activities/19175377170.fit.gz,,7.7,4854.0,4771.0,32049.6,12.82,6.718,153.0,202.0,546.2,606.4,7.9,-0.2,,,106.0,67.0,175.0,137.0,,93.0,588.0,,26.0,22.0,449954.0,,,,,,,,128.0,4825.0,,,0.0,,1.0,,,,,,,,,,,,,,,,10794160.0,,,,,,,,,,,,6.603,0.0,,,,,0.0,,75.0,75.0,,,,0.0,0.0,,,,0.0,,,,""
18060605149,"Apr 11, 2026, 1:06:11 AM",Morning Ride,Ride,"😐 Low-Load Tapering
🐶 Free Training (moderate intensity)
🚵 Irregular course Ride
🧀 Fat 41.3%, 🍞 Carb 58.7%
🕯️ Matches 2.2
🔋 Maximum discharge 16.2%


🔗https://www.strava.com/clubs/riduck
🔗https://riduck.com
",3752,23.81,156.0,10,,,Shanyon,activities/19161975419.fit.gz,,7.7,3752.0,3692.0,23813.0,10.98,6.45,127.0,126.0,562.0,605.2,18.2,0.0,,,94.0,68.0,156.0,116.0,,96.0,464.0,,24.0,10.0,357867.0,,,,,,,,116.0,3715.0,,,0.0,,1.0,,,,,,,,,,,,,,,,10794160.0,,,,,,,,,,,,6.347,0.0,,,,,0.0,,47.0,68.0,,,,0.0,0.0,,,,0.0,,,,""
18049238449,"Apr 9, 2026, 11:18:05 AM",Afternoon Weight Training,Weight Training,,3542,0,154.0,10,,,,activities/19150515558.fit.gz,,,3542.0,3542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,154.0,121.0,,,474.0,,,10.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,468.0,,,,,,,,,,""
18021667267,"Apr 8, 2026, 1:04:39 AM",Morning Ride,Ride,"😐 Low-Load Tapering
🐺 VO2Max Training (medium-high intensity)
🚵 Hillclimb Ride
🧀 Fat 16.8%, 🍞 Carb 83.2%
🕯️ Matches 17.3
🔋 Maximum discharge 87.3%


🔗https://www.strava.com/clubs/riduck
🔗https://riduck.com
",6137,30.04,181.0,70,,,Shanyon,activities/19122594752.fit.gz,,7.7,6137.0,5899.0,30041.0,18.88,5.093,437.0,452.0,581.0,881.0,35.3,-0.1,,,107.0,62.0,181.0,154.0,,129.0,929.0,,22.0,70.0,760000.0,,,,,,,,153.0,6129.0,,,0.0,,1.0,,,,,,,,,,,,,,,,10794160.0,,,,,,,,,,,,4.895,0.0,,,,,0.0,,212.0,112.0,,,,0.0,0.0,,,,0.0,,,,""
17999777761,"Apr 6, 2026, 12:11:49 PM",Afternoon Weight Training,Weight Training,,3870,0,155.0,8,,,,activities/19100409397.fit.gz,,,3870.0,3870.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,155.0,105.0,,,381.0,,,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,434.0,,,,,,,,,,""
17937677529,"Apr 1, 2026, 12:04:15 PM",Afternoon Weight Training,Weight Training,,4208,0,170.0,11,,,,activities/19037756342.fit.gz,,,4208.0,4208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,170.0,118.0,,,523.0,,,11.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,794.0,,,,,,,,,,""
17911968241,"Mar 30, 2026, 11:57:04 AM",Afternoon Weight Training,Weight Training,,3631,0,154.0,9,,,,activities/19011883454.fit.gz,,,3631.0,3631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,154.0,117.0,,,448.0,,,9.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,576.0,,,,,,,,,,""
17908046215,"Mar 30, 2026, 1:01:56 AM",Morning Ride,Ride,"😅 Slightly overtrained
🐶 Free Training (moderate intensity)
🚵 Concentrated Ride
🧀 Fat 34.8%, 🍞 Carb 65.2%
🕯️ Matches 10.2
🔋 Maximum discharge 55.9%


--- Insights by Riduck ---
",6709,34.68,171.0,22,,,Shanyon,activities/19007898831.fit.gz,,7.7,6709.0,5718.0,34680.3,12.62,6.065,207.0,217.0,555.2,660.6,25.0,0.0,,,101.0,63.0,171.0,132.0,,99.0,731.0,,24.0,22.0,567272.0,,,,,,,,130.0,5869.0,,,0.0,,1.0,,,,,,,,,,,,,,,,10794160.0,,,,,,,,,,,,5.169,3256.4,,,,,0.0,,146.0,95.0,,,,0.0,0.0,,,,0.0,,,,""
17861491986,"Mar 26, 2026, 1:19:04 AM",Morning Ride,Ride,"😨 Overtraining warning
🐺 VO2Max Training (medium-high intensity)
🚵 Free Ride
🧀 Fat 27.6%, 🍞 Carb 72.4%
🕯️ Matches 17.2
🔋 Maximum discharge 36.8%


--- Insights by Riduck ---
",14228,43.42,162.0,33,,,Shanyon,activities/18961013371.fit.gz,,7.7,14228.0,6535.0,43424.3,12.98,6.645,219.0,236.0,538.8,600.0,17.2,0.0,,,105.0,68.0,162.0,140.0,,101.0,856.0,,27.0,33.0,667701.0,,,,,,,,120.0,7271.0,,,0.0,,1.0,,,,,,,,,,,,,,,,10794160.0,,,,,,,,,,,,3.052,1862.5,,,,,0.0,,155.0,88.0,,,,0.0,0.0,,,,0.0,,,,""
